offset_days,model,sample,rmse,mae,bias,n
30,ar1,full,1.0946897900942714,0.7354058128316875,0.2150539495134933,226
30,ar_aic,full,1.1132282177973303,0.756891196572914,0.20990764778887577,226
30,bridge_building_approvals,full,1.1157313292085587,0.7352264208989858,0.15328051504050044,226
30,random_walk,full,1.5274228679614725,0.9674405260981702,0.0060906655953518905,226
30,bridge_average,pre-COVID,0.9168487203724449,0.6643350237965266,0.11697218418966289,201
30,bridge_employment,pre-COVID,0.9199472420141326,0.6661672060390262,0.11139783488839908,201
30,bridge_hours_worked,pre-COVID,0.92084398292984,0.6720416652800245,0.13666560902030475,201
30,bridge_unemployment_rate,pre-COVID,0.9212914819844822,0.6790226963976714,0.12952814117917688,201
30,rolling_mean,pre-COVID,0.9227844005030753,0.6634258041842392,0.07576920363048463,201
30,mean,pre-COVID,0.9242428889154308,0.6749837534467924,0.178911972261554,201
30,bridge_building_approvals,pre-COVID,0.9350926096473927,0.6836884073050767,0.15776491624444217,201
30,ar_aic,pre-COVID,0.9373958611339909,0.6936511461351047,0.20121350798566418,201
30,ridge,pre-COVID,0.9391691415744733,0.6909506315505024,0.16234877851261473,201
30,bridge_goods_exports,pre-COVID,0.9402154991707151,0.6740498684074981,0.04950441961599146,201
30,ar1,pre-COVID,0.9402929145365719,0.6893293576550192,0.2042969551570409,201
30,random_walk,pre-COVID,1.2848627786585014,0.910972804168088,0.005274236538297032,201
30,rolling_mean,1993-2019,0.5369012584133794,0.40091523469710494,0.01950004781931934,108
30,bridge_average,1993-2019,0.5444086567109732,0.4150960197006544,0.039794095565442285,108
30,ar1,1993-2019,0.5448613517148022,0.41840927296755825,0.11383312240557052,108
30,mean,1993-2019,0.5456543844819367,0.4213455310438163,0.10770820790453407,108
30,bridge_goods_exports,1993-2019,0.5499706826762788,0.39844960146173103,-0.022037793810402606,108
30,ar_aic,1993-2019,0.5570133582217447,0.43821188821758006,0.10755857885582508,108
30,bridge_hours_worked,1993-2019,0.5572416454984114,0.4199712822606393,0.056637120709569104,108
30,bridge_employment,1993-2019,0.5589919711400358,0.42069752959997364,0.03205505627057429,108
30,bridge_unemployment_rate,1993-2019,0.5598608810332206,0.44281561109527884,0.06396490767367241,108
30,bridge_building_approvals,1993-2019,0.5790366188211,0.4375458590578455,0.0683511869837981,108
30,ridge,1993-2019,0.5911879589455983,0.45106166529238756,0.07688226398289706,108
30,random_walk,1993-2019,0.8015973118255058,0.5915011701302987,0.013921559792224794,108
60,bridge_employment,full,0.9476343945094656,0.6776749591103615,0.14790154590188462,226
60,ridge,full,0.9834908461583456,0.7081341753884063,0.20796882416874407,226
60,bridge_hours_worked,full,0.999175899539735,0.6845964090217873,0.13947263349222833,226
60,bridge_unemployment_rate,full,1.0045780532504702,0.7010892134340593,0.15035342431149062,226
60,bridge_average,full,1.0108339848347812,0.6919183506670832,0.1411342342990742,226
60,rolling_mean,full,1.0785016594054362,0.7057235802404617,0.07317291509079242,226
60,mean,full,1.079856889717188,0.7200468932359444,0.19207143181033956,226
60,ar1,full,1.0946897900942714,0.7354058128316875,0.2150539495134933,226
60,bridge_goods_exports,full,1.1003609596998607,0.7201605162382082,0.08679456758445203,226
60,bridge_building_approvals,full,1.112958744623823,0.742516793157807,0.1811490002053155,226
60,ar_aic,full,1.1132282177973303,0.756891196572914,0.20990764778887577,226
60,random_walk,full,1.5274228679614725,0.9674405260981702,0.0060906655953518905,226
60,bridge_hours_worked,pre-COVID,0.9134715084987932,0.6610722889524352,0.11632531306372912,201
60,bridge_average,pre-COVID,0.9161853839377387,0.6662941811948428,0.12359766807228656,201
